Value or potential value created by Generative AI 4,Classification,Accelerate development of creative content,"Increase automation in tasks, without reducing employment",Automate tasks to replace employees,Achieve cost eficiencies,Improve client or customer experience,Drive data-driven decision making,Minimize workorce recruitment and retention challenges,"Value or potential value created by Generative AI, other"
"Agriculture, orestry, ishing and hunting","North American Industry Classification System (NAICS), all industries",34.8,52.1,24.9,46.6,33.2,46.3,13.9,0.5
"Mining, quarrying, and oil and gas extraction","North American Industry Classification System (NAICS), all industries",34.4,48.3,0.4,39.7,23.5,55.7,6.3,0.7
Construction,"North American Industry Classification System (NAICS), all industries",78.4,20.9,4.3,17.1,27.6,18.2,1.5,0
Manuacturing,"North American Industry Classification System (NAICS), all industries",49.1,32,10.4,34.2,31.2,54.7,10.6,1.9
Wholesale trade,"North American Industry Classification System (NAICS), all industries",66.8,69.5,1.5,36.4,46.7,38.7,8.1,0.5
Retail trade,"North American Industry Classification System (NAICS), all industries",84,29.1,10.2,26.8,32.7,19.1,11.5,0.3
Transportation and warehousing,"North American Industry Classification System (NAICS), all industries",,,0.4,4,,13.1,17.7,0.2
Information and cultural industries,"North American Industry Classification System (NAICS), all industries",63.7,66,16.3,32.8,39.4,23,10.4,4.5
inance and insurance,"North American Industry Classification System (NAICS), all industries",39.4,66.2,16.4,34.2,61.3,42,13.6,1.3
Real estate and rental and leasing,"North American Industry Classification System (NAICS), all industries",80.6,47.8,26.6,42.2,52.5,27.4,17.6,9
"Proessional, scientiic and technical services","North American Industry Classification System (NAICS), all industries",73,45.5,20.6,46.9,30,32,8.8,5.6
"Administrative and support, waste management and remediation services","North American Industry Classification System (NAICS), all industries",71.8,54.2,3.7,34.7,53.8,33.9,1,0.3
Health care and social assistance,"North American Industry Classification System (NAICS), all industries",67.4,43,0.6,29.4,42.7,11.3,2.3,3.9
"Arts, entertainment and recreation","North American Industry Classification System (NAICS), all industries",80.6,54.3,15.8,33.3,49.8,20,17,0.9
Accommodation and food services,"North American Industry Classification System (NAICS), all industries",56.6,36,10.8,31.4,42.6,36.8,9.9,
Other services (except public administration),"North American Industry Classification System (NAICS), all industries",84.7,49.7,4.3,29.3,37.9,36.2,24.5,0.9
1 to 4 employees,"Business or organization size of employment, all employment sizes",72.1,49.8,12.7,37.4,37.3,32.8,9.3,2.1
5 to 19 employees,"Business or organization size of employment, all employment sizes",69.1,37.2,10.8,28.4,30,19.5,9.4,7.9
20 to 99 employees,"Business or organization size of employment, all employment sizes",58.9,46,15.2,34.6,49.2,32.3,12.7,0.9
100 or more employees,"Business or organization size of employment, all employment sizes",57.9,70.2,18.8,61.1,50.6,55.7,14.5,0.9
"Business or organization type, all businesses or organizations","Business or organization size of employment, all employment sizes",68.5,46.1,12.8,35.1,37.5,29.5,10.1,3.7
Government agencies,"Business or organization size of employment, all employment sizes",94.7,,0,0.7,5.5,1.9,0,0
Private sector businesses,"Business or organization size of employment, all employment sizes",67.7,46,13.5,35.8,38.4,29.6,9.4,3.5
Non-proit organizations serving households or individuals,"Business or organization size of employment, all employment sizes",79.5,42.5,0.6,13.1,18.8,30.9,8.8,9.8
Non-proit organizations serving businesses,"Business or organization size of employment, all employment sizes",76.1,,1.5,,,32,,0
"Age o business or organization, 2 years or less","Age o business or organization, all ages",71.8,41.9,15.8,,62.4,,2.1,0
"Age o business or organization, 3 to 10 years old","Age o business or organization, all ages",72,41.7,11,35.9,35.8,31.5,11.7,3.8
"Age o business or organization, 11 to 20 years old","Age o business or organization, all ages",71.2,47,10,25.5,34.9,26.7,7.2,3.2
"Age o business or organization, more than 20 years old","Age o business or organization, all ages",61.7,51.8,16.2,43.6,36.8,30.7,11.4,4.4
Urban,"Geography, all geography",69.1,46.1,13,34.6,37.5,29,8.9,3.9
Rural,"Geography, all geography",62.8,46,10.8,39.6,37.4,34.4,21,1.6
"Majority ownership, woman","Majority ownership, all ownerships",84.2,48.2,17.8,55.4,33.5,35.9,7.7,4.2
"Majority ownership, First Nations, Métis or Inuit","Majority ownership, all ownerships",71.4,18.3,,,18.8,24.5,3.7,
"Majority ownership, immigrant to Canada","Majority ownership, all ownerships",62.2,58.7,10,39.9,51.2,27.1,9.9,2.8
"Majority ownership, person with a disability","Majority ownership, all ownerships",38.3,16.8,0.6,14.9,5.4,,22.7,2.7
"Majority ownership, LGBTQ2 people","Majority ownership, all ownerships",38,33,25.8,37.5,44.5,57.8,14.4,0.2
"Majority ownership, visible minority","Majority ownership, all ownerships",58.2,56.1,8.5,46.3,48.9,33.5,11,3.7
"Ownership by visible minority, South Asian","Ownership by visible minority, all visible minorities",,73.1,4.9,,,,3.4,1.5
"Ownership by visible minority, Chinese","Ownership by visible minority, all visible minorities",75,,,76.9,,24.9,,0.8
"Ownership by visible minority, Black","Ownership by visible minority, all visible minorities",,,0.3,,,,,
"Ownership by visible minority, Filipino","Ownership by visible minority, all visible minorities",,,,,,,,0
"Ownership by visible minority, Latin American","Ownership by visible minority, all visible minorities",,20.1,0,20.1,,17.5,0,0
"Ownership by visible minority, Arab","Ownership by visible minority, all visible minorities",,76.6,10.2,25.7,,,7.7,0
"Ownership by visible minority, Southeast Asian","Ownership by visible minority, all visible minorities",83.3,,9.2,,,0.3,0.3,0
"Ownership by visible minority, West Asian","Ownership by visible minority, all visible minorities",,,,,,,,4
"Ownership by visible minority, Korean","Ownership by visible minority, all visible minorities",,6.3,0,0,0,0,,0
"Ownership by visible minority, Japanese","Ownership by visible minority, all visible minorities",,,0,,,,0,0
"Ownership by visible minority, other visible minority","Ownership by visible minority, all visible minorities",,100,,,0,,0,
"Ownership by visible minority, preerred not to say","Ownership by visible minority, all visible minorities",,,0,,,11.3,0,
Exported goods outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",75.2,59,18.5,42.3,37,42.1,16.8,1
Exported services outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",81.3,51.9,15.8,58.7,38.6,60.3,10.3,3
Made investments outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",68.8,14,9.1,24.9,43.8,39.3,2.5,0
Sold goods to businesses in Canada who then resold them outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",68.1,61.2,41.6,67.2,64.8,53.3,28.8,4.8
Imported goods rom outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",68.9,47.9,9.5,34.1,36.6,25.4,5.2,0.3
Imported services rom outside o Canada,"Business or organization activity in the last 12 months, all business or organization activities",76.1,54.7,18.7,49.4,45.3,40.6,14.8,5.9
Relocated any business or organizational activities or employees rom another country into Canada,"Business or organization activity in the last 12 months, all business or organization activities",83.8,95.5,65.1,83.9,93.1,85.5,67.3,0.2
Relocated any business or organizational activities or employees rom Canada to another country,"Business or organization activity in the last 12 months, all business or organization activities",95.9,,,87.5,,,0.4,
Engaged in other international business activities,"Business or organization activity in the last 12 months, all business or organization activities",82.6,86.5,9.4,,,23.1,4.6,1.8
"Business or organization activity, none or other","Business or organization activity in the last 12 months, all business or organization activities",66.4,41.5,12.1,28.1,36.3,23.2,10.8,3.9
